Nombre,Apellido,Telefono,Rol,Departamento,Suc/Agen
LOURDES PATRICIA,CARDONA RAMÍREZ,+50257731397,Contador,18,12
JAVIER ANDRÉS,AJUCHÁN TOCOCH,+50282438307,Gerente,17,12
JOSÉ JAVIER,TÉLLES CARCUZ,+50210002253,RRHH,12,12
KEVIN ESTUARDO,COLLADO GONZALEZ,+50272383879,Cajero,18,12
JONNATHAN ALEXANDER,LUX JURACÁN,+50265624320,RRHH,18,12
LUISA DANIELA,MORALES GIRÓN,+50285120542,Auxiliar,14,12
OSCAR EDUARDO,CARDONA RAMÍREZ,+50244779196,Contador,4,13
DIANA ESTEFANIA,CHOCÓN GÓMEZ,+50261424740,Gerente,5,13
LUIS FERNANDO,GÓMEZ RENDÓN,+50263770859,Auxiliar,18,13
KEVIN EDUARDO,ALDANA OSORIO,+50290776978,Gerente,5,13
LUIS CESAR,CONDE HERNANDEZ,+50214348695,Auxiliar,6,13
OSCAR FERNANDO,ISMALEJ ROMAN,+50245545643,Auxiliar,21,13
ISAI,GÓMEZ CÚN,+50230990542,Cajero,19,13
EDWIN AMAN,GÓMEZ RENDÓN,+50269573634,Auxiliar,2,13
WALTER DANIEL,LLAMAS CALDERON,+50224664678,Asesor,13,13
ALVARO ESAU,LIZAMA QUIÑONEZ,+50294404746,Cajero,5,13
SEBASTIAN EDGARDO,RALDA MEJIA,+50291177391,Asesor,15,14
JHONATAN JOSUÉ,SAM PUM,+50261160498,Cajero,18,14
WALTER DANIEL,MORALES GIRÓN,+50233820017,Contador,13,14
MANOLO RICARDO,VELÁSQUEZ RODAS,+50250440759,Contador,2,14
VICTOR ABDIEL,CARDONA RAMÍREZ,+50222555881,Auditor,19,14
OSCAR EDUARDO,JOSE MANUEL,+50240786954,Cajero,22,14
JOHATAN ERNESTO,LLAMAS CALDERON,+50274450865,Auxiliar,4,14
JONATHAN JOSUÉ,HIGUEROS DE LEÓN,+50228997014,Cajero,7,14
ALVARO ESAU,CHACON BARILLAS,+50249801590,Auditor,19,14
KERVIN ADOLFO,MARROQUIN ARANA,+50238661096,Gerente,15,14
SERGIO SAUL,LUX JURACÁN,+50286179972,Cajero,21,15
JOSUÉ ALEJANDRO,MARROQUIN LLAMAS,+50276331041,RRHH,12,15
JOSUÉ ALEJANDRO,REYES CASTILLO,+50241102566,Gerente,18,15
KEVIN EDUARDO,GUTIÉRREZ VELÁSQUEZ,+50270488500,Contador,5,15
LUIS EDUARDO,AJUCHÁN TOCOCH,+50298499756,Auditor,12,15
RIVER ANDERSON,PÉREZ BENITO,+50215908998,Auxiliar,8,15
JOHATAN ERNESTO,BARILLAS SOSA,+50235767753,Contador,7,15
JONNATHAN ALEXANDER,VALDEZ GONZÁLEZ,+50276307332,Asesor,6,15
ISAI,REYES CASTILLO,+50251476803,Asesor,14,15
JOHNNY WHILLMAN,CHACON BARILLAS,+50253783742,Contador,2,15
KERVIN ADOLFO,GÓMEZ CÚN,+50231566252,Cajero,2,16
JESER OBDULIO,CUEVAS TZÚN,+50224127322,Contador,6,16
LOURDES PATRICIA,COTTO REVOLORIO,+50246427895,Auxiliar,12,16
WILLIAM ADOLFO,MARROQUIN LLAMAS,+50275865325,RRHH,21,16
RICHARD ALEXANDRO,GÓMEZ RENDÓN,+50212852312,Asesor,18,16
ISAI,ARGUETA SALAZAR,+50295227440,Auditor,16,16
CARMEN MARIA,RALDA MEJIA,+50250101363,Auxiliar,22,16
JOSUÉ ALEJANDRO,SANTIZO DÍAZ,+50229398386,Asesor,20,16
WILLIAM ADOLFO,LLAMAS CALDERON,+50281911368,RRHH,4,16
OSCAR FERNANDO,ROSALES MEDINA,+50232323912,Contador,11,16
LUIS FERNANDO,BERDUCIDO DOMINGO,+50272701277,Asesor,15,17
LUIS EDUARDO,CHOCÓN GÓMEZ,+50286423010,Auxiliar,14,17
JHONATAN JOSUÉ,PERUCH DE LEÓN,+50269811282,Cajero,15,17
JESER OBDULIO,ROSALES MEDINA,+50260341022,RRHH,8,17
DIANA ESTEFANIA,MASAYA CORDOVA,+50235519846,Asesor,11,17
ALLAN RICARDO,PÉREZ BENITO,+50236603122,Auxiliar,7,17
ESDRAS BENJAMIN,AJUCHÁN TOCOCH,+50275597649,RRHH,20,17
ALLAN JOSUÉ,LÓPEZ PIRIR,+50213811030,Auxiliar,21,17
LUIS EDUARDO,GÓMEZ CÚN,+50293416858,Asesor,13,17
KARLA ERNESTINA,GUTIÉRREZ VELÁSQUEZ,+50249751864,Auditor,13,17
KEVIN ESTUARDO,CUEVAS TZÚN,+50247973775,RRHH,19,18
SERGIO SAUL,BARILLAS SOSA,+50236702471,RRHH,9,18
JUAN SEBASTIAN,COLLADO GONZALEZ,+50222571046,Cajero,5,18
LUIS FERNANDO,MICA PEREZ,+50253273183,Cajero,13,18
ALVARO ESAU,MARROQUIN ARANA,+50269963662,Auxiliar,18,18
JAVIER ANDRÉS,CHOCÓN GÓMEZ,+50219329103,Gerente,13,18
KERVIN ADOLFO,GUTIÉRREZ VELÁSQUEZ,+50217328253,Asesor,22,18
CARMEN MARIA,COLLADO GONZALEZ,+50226313325,Auditor,13,18
ALVARO ESAU,SAM PUM,+50286649502,Asesor,18,18
LUIS EDUARDO,CHACON BARILLAS,+50240930950,Cajero,19,18
ALLAN RICARDO,SANTIZO DÍAZ,+50229195677,Cajero,21,19
RUBÉN ALEJANDRO,MORALES GIRÓN,+50250602380,Asesor,7,19
MANOLO RICARDO,PU TAVICO,+50290823014,RRHH,21,19
KELLY ZUCETH,PERUCH DE LEÓN,+50272840880,Gerente,3,19
SEBASTIAN EDGARDO,VELÁSQUEZ RODAS,+50271860465,Cajero,7,19
LUIS EDUARDO,BARILLAS SOSA,+50290504860,Auxiliar,18,19
RUBÉN ALEJANDRO,LUX JURACÁN,+50229829227,Cajero,8,19
JOHATAN ERNESTO,BARILLAS SOSA,+50258253454,Cajero,20,19
ESDRAS BENJAMIN,MARROQUIN ARANA,+50210816091,Cajero,8,19
KEVIN ORLANDO,MORALES GIRÓN,+50214593145,RRHH,5,19
IVAN ALESSANDRO,TZUNÚN YAX,+50212627706,Cajero,14,20
EDDY ALEJANDRO,GERARDI HERNÁNDEZ,+50298004060,Asesor,5,20
BRAYAN ESTIBEN,ISMALEJ ROMAN,+50233351472,Auditor,11,20
PEDRO LUIS,SANTIZO DÍAZ,+50237544954,Cajero,10,20
CARLOS EDUARDO,TÉLLES CARCUZ,+50232564333,Gerente,4,20
WALTER DANIEL,RALDA MEJIA,+50228645261,Asesor,2,20
EDUARDO ISMAEL,MURGA BARILLAS,+50221131238,Auxiliar,21,20
ALLAN JOSUÉ,CARRERA AGUILAR,+50249127483,Contador,18,20
JOSÉ JAVIER,HILARIO CHACÓN,+50274996268,Auditor,9,20
LOPEZ LEMUS,PU TAVICO,+50280637041,Auxiliar,6,20
WILLIAM ADOLFO,MURGA BARILLAS,+50289655210,Auxiliar,17,21
WALTER DANIEL,CONDE HERNANDEZ,+50248868061,Asesor,16,21
EDWIN AMAN,PÉREZ BENITO,+50283728520,Auxiliar,14,21
RICHARD ALEXANDRO,GODOY SALVATIERRA,+50237310163,Cajero,9,21
VICTOR ABDIEL,BERDUCIDO DOMINGO,+50268884424,Auxiliar,17,21
SERGIO SAUL,REYES CASTILLO,+50217212128,Auxiliar,3,21
LUIS FERNANDO,AJUCHÁN TOCOCH,+50255830402,Auxiliar,10,21
JESER OBDULIO,MURGA BARILLAS,+50219566950,Asesor,11,21
ISAI,JOSE MANUEL,+50283823986,Auditor,5,21
JESER OBDULIO,PERUCH DE LEÓN,+50250280821,Cajero,19,21
JAVIER ANDRÉS,ISMALEJ ROMAN,+50240948887,Asesor,9,22
ALLAN RICARDO,CASTRO GUERRA,+50237472991,Gerente,16,22
ALLAN JOSUÉ,MICA PEREZ,+50272498098,Auxiliar,2,22
JONATHAN JOSUÉ,PU TAVICO,+50253296892,Auditor,6,22
SEBASTIAN EDGARDO,CASTAÑEDA HERNÁNDEZ,+50216857317,Gerente,7,22
JONATHAN JOSUÉ,ARCE GUZMAN,+50229265314,Cajero,17,22
MANOLO RICARDO,RAMIREZ MAZARIEGOS,+50294634910,RRHH,20,22
PABLO DANIEL,GÓMEZ RENDÓN,+50220231141,Gerente,3,22
KERVIN ADOLFO,ZAMORA SANTOS,+50234553901,Auditor,17,22
LUIS CESAR,MARROQUIN ARANA,+50222929064,Cajero,19,22
LUISA DANIELA,JOSE MANUEL,+50299490832,Contador,15,23
KEVIN EDUARDO,GODOY SALVATIERRA,+50220504848,Contador,13,23
ALLAN RICARDO,MARROQUIN LLAMAS,+50226610240,Asesor,13,23
CARLOS ALEJANDRO,COLLADO GONZALEZ,+50230645680,Cajero,5,23
MARÍA ISABEL,DE LA CRUZ LOPEZ,+50238747104,Asesor,22,23
CARMEN MARIA,LLAMAS CALDERON,+50252996180,Auditor,15,23
JONATHAN JOSUÉ,MURGA BARILLAS,+50282133242,Auditor,9,23
KARLA ERNESTINA,HIGUEROS DE LEÓN,+50298082770,Auditor,13,23
SERGIO SAUL,JIMÉNEZ HERNÁNDEZ,+50244366565,Asesor,5,23
EDWIN AMAN,PU TAVICO,+50230089320,Asesor,7,23
