Nombre,Apellido,Telefono,Rol,Departamento,Suc/Agen
ALLAN RICARDO,CARDONA RAMÍREZ,+50220676154,Gerente,21,3
ALLAN RICARDO,RALDA MEJIA,+50287045083,Cajero,16,3
WALTER DANIEL,MONROY PÉREZ,+50293219379,Cajero,19,4
KEVIN ESTUARDO,CHOCÓN GÓMEZ,+50224393400,RRHH,2,4
EDDY ALEJANDRO,TOSCANO PALACIOS,+50238936555,Auditor,20,4
TOBÍAS FRANCISCO,CASTRO GUERRA,+50221138373,Asesor,12,4
JUAN SEBASTIAN,ARGUETA SALAZAR,+50284243858,Asesor,9,4
SEBASTIAN EDGARDO,AJUCHÁN TOCOCH,+50258602788,Cajero,11,4
ALLAN RICARDO,COLLADO GONZALEZ,+50248161548,Asesor,6,4
KEVIN ORLANDO,JOSE MANUEL,+50273453504,Gerente,18,4
ALLAN JOSUÉ,DARDON MAYEN,+50234051239,Contador,15,4
DIANA ESTEFANIA,ZAMORA SANTOS,+50262791255,Auditor,10,4
KEVIN ESTUARDO,LÓPEZ PIRIR,+50275738864,Auxiliar,4,5
RUBÉN ALEJANDRO,COTTO REVOLORIO,+50244503580,Auxiliar,16,5
JOSÉ JAVIER,COLLADO GONZALEZ,+50226958081,Auditor,18,5
JOHNNY WHILLMAN,GÓMEZ RENDÓN,+50271650248,Gerente,2,5
MARÍA ISABEL,ARCE GUZMAN,+50235726881,Cajero,2,5
CARLOS ALEJANDRO,RALDA MEJIA,+50212081245,Auxiliar,10,5
EDWIN,ARGUETA SALAZAR,+50257924176,Auditor,9,5
OSCAR EDUARDO,AJUCHÁN TOCOCH,+50286835074,Contador,9,5
JUAN JOSÉ,GÓMEZ CÚN,+50250039716,RRHH,2,5
ALLAN JOSUÉ,SECAIDA MOLINA,+50234295461,RRHH,5,5
FRANCISCO DANIEL,GÓMEZ CÚN,+50263303358,Asesor,14,6
MAURICIO ANTONIO,CASTRO GUERRA,+50286762347,Auditor,8,6
RIVER ANDERSON,GUTIÉRREZ VELÁSQUEZ,+50291715131,RRHH,18,6
WILLIAM ADOLFO,PERUCH DE LEÓN,+50258030192,RRHH,13,6
JONNATHAN ALEXANDER,AJUCHÁN TOCOCH,+50216472487,Contador,20,6
OSCAR FERNANDO,FUENTES OSOY,+50247424848,Cajero,4,6
JOSÉ JAVIER,HILARIO CHACÓN,+50242839627,Asesor,19,6
KEVIN ORLANDO,VALDEZ GONZÁLEZ,+50210271622,Gerente,19,6
LUIS CESAR,MASAYA CORDOVA,+50259637710,Auditor,12,6
DIANA ESTEFANIA,SANTIZO DÍAZ,+50210901656,Auditor,4,6
MARÍA ISABEL,PERUCH DE LEÓN,+50277549567,RRHH,8,7
OSCAR FERNANDO,RALDA MEJIA,+50238605701,Cajero,4,7
MAURICIO ANTONIO,JOSE MANUEL,+50280440229,Gerente,17,7
CARLOS JEZEH GEDEONI,FERNÁNDEZ CHACÓN,+50286748853,Auxiliar,2,7
SERGIO SAUL,TZUNÚN YAX,+50276167247,Asesor,9,7
LUIS FERNANDO,TÉLLES CARCUZ,+50283304750,Auditor,11,7
PEDRO LUIS,MAZARIEGOS GARCÍA,+50230446290,RRHH,16,7
IVAN ALESSANDRO,VALDEZ GONZÁLEZ,+50256379141,Auditor,7,7
WALTER DANIEL,SECAIDA MOLINA,+50254306443,Auxiliar,12,7
OSCAR FERNANDO,LÓPEZ PIRIR,+50235058007,Cajero,2,7
JORGE SEBASTIAN,HILARIO CHACÓN,+50224411594,Auditor,22,8
CARLOS ALEJANDRO,CUEVAS TZÚN,+50236338721,Contador,12,8
CARLOS EDUARDO,GÓMEZ CÚN,+50249808494,Cajero,19,8
ERICK ABDUL,MORALES GIRÓN,+50239986940,Cajero,5,8
MAURICIO ANTONIO,CARRERA AGUILAR,+50242349925,RRHH,2,8
ALLAN RICARDO,RALDA MEJIA,+50210326201,RRHH,8,8
ESDRAS BENJAMIN,ZAMORA SANTOS,+50211959632,Asesor,9,8
JUAN SEBASTIAN,GUTIÉRREZ VELÁSQUEZ,+50293174908,RRHH,8,8
ALLAN RICARDO,MURGA BARILLAS,+50252072562,Cajero,18,8
PABLO DANIEL,TOSCANO PALACIOS,+50290826672,RRHH,12,8
JOSUÉ ALEJANDRO,LÓPEZ PIRIR,+50272867779,Contador,13,9
FRANCISCO DANIEL,PERUCH DE LEÓN,+50298998963,RRHH,5,9
RAMIRO AGUSTÍN,ZAMORA SANTOS,+50246579647,RRHH,17,9
LUISA DANIELA,PERUCH DE LEÓN,+50255924942,Auxiliar,16,9
DIANA ESTEFANIA,CONDE HERNANDEZ,+50233124678,Cajero,7,9
LUISA DANIELA,PU TAVICO,+50260493051,RRHH,16,9
CARMEN MARIA,GERARDI HERNÁNDEZ,+50277246957,Gerente,4,9
JONNATHAN ALEXANDER,MASAYA CORDOVA,+50229290673,Asesor,9,9
IVAN ALESSANDRO,GÓMEZ CÚN,+50283867276,Auxiliar,15,9
LOURDES PATRICIA,JOSE MANUEL,+50288749501,Gerente,21,9
WILLIAM ADOLFO,GÓMEZ CÚN,+50250501751,Contador,5,10
WILLIAM ADOLFO,MARROQUIN LLAMAS,+50222471069,RRHH,17,10
PEDRO LUIS,ARENAS GONZALEZ,+50235542197,Cajero,4,10
RAMIRO AGUSTÍN,GÓMEZ RENDÓN,+50273506695,Auditor,13,10
LOPEZ LEMUS,FUENTES OSOY,+50217324713,Asesor,14,10
PEDRO LUIS,CAMBARA GARCIA,+50261951032,Gerente,12,10
FRANCISCO DANIEL,RAMIREZ MAZARIEGOS,+50291128230,Gerente,8,10
ALLAN RICARDO,CASTRO GUERRA,+50212278563,Cajero,15,10
JHONATAN JOSUÉ,MARROQUIN ARANA,+50255970969,RRHH,5,10
JUAN SEBASTIAN,BARILLAS SOSA,+50290752119,Auditor,20,10
PEDRO LUIS,MICA PEREZ,+50287456212,Auditor,3,11
DIANA ESTEFANIA,HILARIO CHACÓN,+50219937552,RRHH,22,11
CARLOS JEZEH GEDEONI,LLAMAS CALDERON,+50243898765,Asesor,6,11
KEVIN ORLANDO,FERNÁNDEZ CHACÓN,+50266340953,Cajero,22,11
ALLAN JOSUÉ,COLLADO GONZALEZ,+50279915817,Gerente,20,11
CARLOS ALEJANDRO,CUEVAS TZÚN,+50259260799,Cajero,5,11
MAURICIO ANTONIO,REYES CASTILLO,+50248310726,Auditor,20,11
JONATHAN JOSUÉ,ZAMORA POLANCO,+50261086109,Auditor,12,11
JHONATAN JOSUÉ,TOSCANO PALACIOS,+50278364030,Cajero,20,11
JOHNNY WHILLMAN,HIGUEROS DE LEÓN,+50253526495,Gerente,9,11
EDWIN,RALDA MEJIA,+50275998021,Auxiliar,17,12
MARÍA ISABEL,SECAIDA MOLINA,+50268484621,RRHH,18,12
JONNATHAN ALEXANDER,MAZARIEGOS GARCÍA,+50219476182,Contador,5,12
KELLY ZUCETH,LÓPEZ PIRIR,+50260973848,RRHH,9,12
RUBÉN ALEJANDRO,HIGUEROS DE LEÓN,+50238088559,Gerente,4,12
LUIS EDUARDO,CARRERA AGUILAR,+50277949464,RRHH,21,12
JOHATAN ERNESTO,JOSE MANUEL,+50212076494,Cajero,4,12
SERGIO SAUL,SANTIZO DÍAZ,+50248847699,Auxiliar,14,12
IVAN ALESSANDRO,CAMBARA GARCIA,+50278350968,Contador,17,12
ESDRAS BENJAMIN,MASAYA CORDOVA,+50259796155,Auxiliar,14,12
SERGIO SAUL,MARROQUIN LLAMAS,+50299513377,Contador,7,13
RAMIRO AGUSTÍN,VALDEZ GONZÁLEZ,+50281931557,Asesor,22,13
CARMEN MARIA,LUX JURACÁN,+50291949271,Asesor,16,13
ALLAN RICARDO,ROSALES MEDINA,+50236038350,RRHH,6,13
ALLAN RICARDO,CASTRO GUERRA,+50287403805,Cajero,14,13
RUBÉN ALEJANDRO,ARENAS GONZALEZ,+50232415413,Auxiliar,21,13
WALTER DANIEL,SECAIDA MOLINA,+50227326354,Cajero,13,13
EDUARDO ISMAEL,MARROQUIN LLAMAS,+50287789941,Contador,10,13
KEVIN ORLANDO,SANTIZO DÍAZ,+50271243608,Contador,22,13
KEVIN EDUARDO,CHOCÓN GÓMEZ,+50294769280,Asesor,15,13
KARLA ERNESTINA,ROSALES MEDINA,+50244538224,Auxiliar,16,14
KEVIN EDUARDO,GÓMEZ RENDÓN,+50248232200,Auxiliar,22,14
LOPEZ LEMUS,GODOY SALVATIERRA,+50259865625,Cajero,13,14
OSCAR FERNANDO,MICA PEREZ,+50283281579,RRHH,7,14
CARLOS JEZEH GEDEONI,MAZARIEGOS GARCÍA,+50250785434,RRHH,10,14
MARÍA ISABEL,FUENTES OSOY,+50258543730,Auxiliar,3,14
LUIS EDUARDO,BARILLAS SOSA,+50250762486,Asesor,17,14
JOHNNY WHILLMAN,SANDOVAL LÓPEZ,+50220288338,RRHH,6,14
MAURICIO ANTONIO,DE LA CRUZ LOPEZ,+50230937382,Auxiliar,4,14
RIVER ANDERSON,PERUCH DE LEÓN,+50264608434,Gerente,12,14
LUIS EDUARDO,LUX JURACÁN,+50243605342,Asesor,4,15
JOSÉ JAVIER,GERARDI HERNÁNDEZ,+50262780076,Asesor,15,15
JONATHAN JOSUÉ,TZUNÚN YAX,+50254049728,Auxiliar,18,15
LOURDES PATRICIA,TZUNÚN YAX,+50232933241,Gerente,2,15
RUBÉN ALEJANDRO,ALDANA OSORIO,+50266999912,Auxiliar,18,15
IVAN ALESSANDRO,MARROQUIN ARANA,+50212430539,Gerente,2,15
KEVIN EDUARDO,CONDE HERNANDEZ,+50280928153,Auditor,3,15
ALVARO ESAU,FUENTES OSOY,+50217336682,Auditor,22,15
LUIS CESAR,MASAYA CORDOVA,+50212138832,RRHH,18,15
JONNATHAN ALEXANDER,SANDOVAL LÓPEZ,+50255864991,Cajero,13,15
CARMEN MARIA,LÓPEZ PIRIR,+50276806454,Auxiliar,20,16
VICTOR ABDIEL,TZUNÚN YAX,+50213233142,Cajero,13,16
RIVER ANDERSON,GUTIÉRREZ VELÁSQUEZ,+50210407526,Contador,12,16
LUIS EDUARDO,TOSCANO PALACIOS,+50245822208,Auxiliar,18,16
KEVIN EDUARDO,CASTRO GUERRA,+50230623200,Gerente,18,16
EDWIN AMAN,VALDEZ GONZÁLEZ,+50252559410,Auditor,22,16
RIVER ANDERSON,AJUCHÁN TOCOCH,+50276170412,Auditor,7,16
JESER OBDULIO,MORALES GIRÓN,+50214994372,Contador,15,16
WALTER JOSUE,MASAYA CORDOVA,+50296725612,Gerente,2,16
LUIS EDUARDO,MICA PEREZ,+50259194879,Contador,10,16
SERGIO SAUL,ARENAS GONZALEZ,+50220854824,Gerente,11,17
MANOLO RICARDO,CASTAÑEDA HERNÁNDEZ,+50299133651,Contador,22,17
JESER OBDULIO,RALDA MEJIA,+50284686665,Contador,18,17
LUIS EDUARDO,JOSE MANUEL,+50246953212,Auxiliar,3,17
WILLIAM ADOLFO,FUENTES OSOY,+50278970261,RRHH,21,17
MANOLO RICARDO,ZAMORA SANTOS,+50266218815,Auditor,21,17
OSCAR EDUARDO,RAMIREZ MAZARIEGOS,+50253946717,Auxiliar,21,17
OSCAR EDUARDO,HILARIO CHACÓN,+50212642517,Contador,8,17
LOURDES PATRICIA,ARCE GUZMAN,+50286700726,Contador,5,17
DIANA ESTEFANIA,ISMALEJ ROMAN,+50258750309,Auditor,16,17
TOBÍAS FRANCISCO,LÓPEZ PIRIR,+50247706666,Cajero,3,18
EDDY ALEJANDRO,COLLADO GONZALEZ,+50257443849,Auxiliar,13,18
VICTOR ABDIEL,GUTIÉRREZ VELÁSQUEZ,+50234144611,Auditor,8,18
KARLA ERNESTINA,CUEVAS TZÚN,+50245668350,Auditor,4,18
SEBASTIAN EDGARDO,REYES CASTILLO,+50276540975,Cajero,12,18
JONNATHAN ALEXANDER,ARENAS GONZALEZ,+50293614242,Auxiliar,8,18
LUIS EDUARDO,HIGUEROS DE LEÓN,+50232938344,RRHH,13,18
KERVIN ADOLFO,DE LEÓN PACHECO,+50265980283,Gerente,5,18
ALVARO ESAU,MAZARIEGOS GARCÍA,+50271432238,Contador,22,18
ALVARO ESAU,MICA PEREZ,+50271116460,Contador,9,18
EDWIN AMAN,CASTRO GUERRA,+50296856260,Cajero,8,19
VICTOR ABDIEL,ARENAS GONZALEZ,+50268039124,Gerente,13,19
KELLY ZUCETH,JOSE MANUEL,+50272742023,Cajero,15,19
LUIS EDUARDO,FUENTES OSOY,+50271988734,Auditor,6,19
LOURDES PATRICIA,PÉREZ BENITO,+50218820314,Asesor,15,19
JORGE SEBASTIAN,DARDON MAYEN,+50245155591,Cajero,4,19
KEVIN ESTUARDO,REYES CASTILLO,+50244465019,Asesor,7,19
RAMIRO AGUSTÍN,CARRERA AGUILAR,+50220635120,Contador,17,19
TOBÍAS FRANCISCO,TOSCANO PALACIOS,+50246440338,Cajero,4,19
TOBÍAS FRANCISCO,BERDUCIDO DOMINGO,+50219087619,Asesor,17,19
ALLAN RICARDO,GODOY SALVATIERRA,+50290108675,Auxiliar,19,20
CARLOS JEZEH GEDEONI,SANTIZO DÍAZ,+50290160479,Contador,19,20
ERICK ABDUL,HILARIO CHACÓN,+50270236465,Asesor,5,20
KEVIN EDUARDO,RALDA MEJIA,+50257956224,Contador,7,20
MAURICIO ANTONIO,SECAIDA MOLINA,+50265804725,Cajero,5,20
KEVIN ESTUARDO,CARRERA AGUILAR,+50259552118,Auxiliar,6,20
TOBÍAS FRANCISCO,CASTRO GUERRA,+50234487253,Auditor,7,20
EDUARDO ANDRÉS,DARDON MAYEN,+50294927438,RRHH,18,20
ERICK ABDUL,SAM PUM,+50244611971,Auxiliar,12,20
JUAN SEBASTIAN,VELÁSQUEZ RODAS,+50215501605,Asesor,21,20
BRIAN ESTUARDO,SAM PUM,+50260019078,Contador,11,21
LUIS FERNANDO,LUX JURACÁN,+50254483033,Gerente,14,21
WILLIAM ADOLFO,CAMBARA GARCIA,+50283310774,Auditor,4,21
WALTER JOSUE,MASAYA CORDOVA,+50211076737,Gerente,20,21
ERICK ABDUL,ARENAS GONZALEZ,+50255369953,RRHH,12,21
JUAN SEBASTIAN,COLLADO GONZALEZ,+50242875221,RRHH,20,21
RUBÉN ALEJANDRO,COTTO REVOLORIO,+50257267961,RRHH,19,21
KEVIN EDUARDO,TÉLLES CARCUZ,+50277015907,RRHH,19,21
JORGE SEBASTIAN,MAZARIEGOS GARCÍA,+50232625387,Cajero,22,21
RIVER ANDERSON,HIGUEROS DE LEÓN,+50293716757,Contador,18,21
KEVIN ESTUARDO,HIGUEROS DE LEÓN,+50260539027,Auxiliar,2,22
CARLOS JEZEH GEDEONI,GÓMEZ RENDÓN,+50233482729,Auxiliar,17,22
WALTER JOSUE,TÉLLES CARCUZ,+50225314428,Contador,2,22
RAMIRO AGUSTÍN,CUEVAS TZÚN,+50274302209,Auxiliar,15,22
LOURDES PATRICIA,LLAMAS CALDERON,+50256765958,Gerente,12,22
LUIS CESAR,ARENAS GONZALEZ,+50260550429,Gerente,10,22
KEVIN ORLANDO,LLAMAS CALDERON,+50275926877,Auditor,20,22
FRANCISCO DANIEL,LÓPEZ PIRIR,+50291515332,Contador,18,22
LUIS FERNANDO,BARILLAS SOSA,+50210111691,Contador,17,22
JESER OBDULIO,GÓMEZ CÚN,+50281889562,Asesor,14,22
LUIS CESAR,SANDOVAL LÓPEZ,+50277089219,Auditor,16,23
OSCAR EDUARDO,ALDANA OSORIO,+50249326872,Auxiliar,13,23
JUAN SEBASTIAN,HILARIO CHACÓN,+50264297356,Contador,11,23
JUAN JOSÉ,MARROQUIN LLAMAS,+50260179987,Gerente,8,23
JAVIER ANDRÉS,JOSE MANUEL,+50248535751,RRHH,20,23
VICTOR ABDIEL,FUENTES OSOY,+50291076457,RRHH,6,23
LUIS EDUARDO,AJUCHÁN TOCOCH,+50284641044,Auditor,13,23
DIANA ESTEFANIA,VALDEZ GONZÁLEZ,+50277118388,Cajero,12,23
JOSUÉ ALEJANDRO,JIMÉNEZ HERNÁNDEZ,+50212438816,Gerente,18,23
IVAN ALESSANDRO,ZAMORA SANTOS,+50215043951,Cajero,11,23
